Experiment,Participant,Gender,CodedGender,AgeGroup,Age,Condition,Group,OS,Category,Cue,Target,AltTarget1,AltTarget2,AltTarget3,StudyTrial,Recall_RESP,Recall_ACC,Recall_Err,RKN_RESP,RKN_RT,FOK_RESP,FOK_RT,RecallTrial,Recog_ACC,Recog_RESP,Recog_RT,RCJ_RESP,RCJ_RT,RecogTrial,Orig_File,Flag,Cycle,CycleTrial
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,ALWAYS,CRISP,EXACT, CAIN, PRAISE,0,,0,Omm,3,2.163,49.44444444,3.846,0,1,CorrectRecog,2.028,10.33333333,1.873,34,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,0,0
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,NEVER,WORK,ITCH, TELEVISION, BEAUTIFUL,1,,0,Omm,3,1.582,4.777777778,1.739,1,0,Alt1Recog,4.876,7.777777778,1.73,22,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,0,1
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,BURST,TALL,DOWN, MARRIAGE, HAPPY,2,tall,1,Correct,1,1.797,80.44444444,3.579,2,1,CorrectRecog,1.711,99.22222222,2.712,27,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,0,2
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,QUESTION,LOSER,CRISP, FAST, PASS,3,,0,Omm,3,2.274,0.444444444,2.458,3,1,CorrectRecog,2.745,98.77777778,2.174,35,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,0,3
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,RUSH,SORE,GUILTY, PRODUCTIVE, HOLLYWOOD,4,down,0,Comm,3,1.456,6.777777778,1.325,4,0,Alt2Recog,2.331,0.333333333,5.19,9,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,0,4
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,PEST,BELOW,GUILTY, STRAIGHT, CHRISTMAS,5,,0,Omm,3,1.371,4.444444444,4.863,5,0,Alt1Recog,2.462,99.77777778,2.223,11,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,0,5
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,NEGATIVE,GUILTY,SWEEP, COMPROMISE, EFFORT,6,,0,Omm,3,1.762,7.555555556,2.212,6,1,CorrectRecog,2.43,11.33333333,2.19,30,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,0,6
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,SWEET,READ,TAKE, REAL, PICASSO,7,apple,0,Comm,3,2.943,49.66666667,3.555,7,0,Alt3Recog,3.179,22.33333333,2.028,24,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,0,7
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,DOT,SAND,SWEEP, SOUR, KIDNAPPER,8,,0,Omm,3,1.849,14.77777778,1.706,8,0,Alt2Recog,3.596,15.11111111,1.707,37,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,0,8
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,IDENTICAL,NOISE,MINUS, PROBLEM, SPORT,9,,0,Omm,3,1.361,5.555555556,1.922,9,0,Alt2Recog,3.765,10.88888889,2.364,7,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,0,9
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,MIRAGE,SOUR,SAND, WRONG, AGENCY,10,,0,Omm,3,1.295,1,2.098,10,0,Alt1Recog,3.313,16.33333333,1.94,25,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,1,0
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,EXCITEMENT,BOTHER,SHORT, ACADEMIC, STORE,11,,0,Omm,3,1.39,1.555555556,1.413,11,0,Alt3Recog,3.412,14.44444444,1.256,32,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,1,1
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,BLOW,MINIMUM,COMPREHEND, HIT, HELPLESS,12,,0,Omm,3,1.146,13.22222222,1.646,12,0,Alt1Recog,5.444,25.11111111,2.374,3,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,1,2
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,AFTER,ABOVE,SOUR, LOG, PASS,13,,0,Omm,3,1.323,5.777777778,1.629,13,1,CorrectRecog,1.897,9,2.29,19,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,1,3
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,PULL,SMILE,POSITIVE, PLETHORA, COUNSELOR,14,,0,Omm,3,1.56,5.666666667,1.655,14,0,Alt3Recog,3.711,7.555555556,1.778,20,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,1,4
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,WEARY,WEST,SMILE, FATHER, WORD,15,,0,Omm,3,1.423,29.33333333,1.713,15,1,CorrectRecog,1.56,99.44444444,3.141,2,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,1,5
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,RAIN,COMPREHEND,MINIMUM, PROPERTY, LUST,16,,0,Omm,3,1.712,19.11111111,1.414,16,0,Alt1Recog,4.762,48.88888889,1.743,38,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,1,6
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,FORGET,FROWN,TALL, EXCEPT, VIOLENT,17,,0,Omm,3,1.505,3.444444444,1.473,17,1,CorrectRecog,2.862,12.33333333,2.059,14,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,1,7
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,BEYOND,DENT,HEALTHY, MAN, CREDIT,18,,0,Omm,3,1.175,15.22222222,1.474,18,0,Alt1Recog,3.296,10.88888889,1.675,18,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,1,8
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,FOUND,BEST,NEAR, WORK, TIMID,19,,0,Omm,3,1.573,22.55555556,2.474,19,0,Alt1Recog,3.246,7.333333333,2.223,15,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,1,9
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,THREAD,FREQUENT,SAND, BORING, ALSO,20,,0,Omm,3,1.244,7.888888889,1.43,20,0,,,8.888888889,2.258,0,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,2,0
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,DISCOVERY,HEALTHY,SWEEP, NEW YORK, DISLIKE,21,,0,Omm,3,1.423,18,1.225,21,0,Alt3Recog,3.912,10.66666667,1.729,31,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,2,1
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,GAVEL,BEFORE,TAKE, SEX, THEATER,22,,0,Omm,3,1.23,2.111111111,1.272,22,0,Alt3Recog,4.081,10,2.024,8,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,2,2
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,PRICK,INNOCENT,SOUR, JUDGE, COMPLETED,23,,0,Omm,3,1.523,11.11111111,1.205,23,0,Alt1Recog,3.394,50.33333333,2.68,23,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,2,3
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,EAST,SHORT,DENT, SHOW, THERE,24,,0,Omm,3,1.374,13.11111111,1.589,24,0,Alt2Recog,3.162,10.55555556,1.962,21,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,2,4
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,GIVE,DOWN,SWEEP, PAPER, LOTS,25,,0,Omm,3,1.329,7.444444444,1.705,25,1,CorrectRecog,3.796,12.11111111,1.872,33,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,2,5
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,NAIL,CIRCLE,EXACT, SOUR, YOUNG,26,,0,Omm,3,1.173,13.11111111,1.324,26,0,Alt1Recog,4.278,16.11111111,2.091,5,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,2,6
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,WINNER,NEAR,DOWN, SEXUAL, NUMBERS,27,,0,Omm,3,1.457,4.666666667,1.289,27,1,CorrectRecog,5.347,10.88888889,2.056,36,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,2,7
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,DEAD,REMEMBER,READ, TIMID, MODIFY,28,,0,Omm,3,1.211,11.88888889,1.514,28,0,Alt2Recog,5.247,5.888888889,1.894,16,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,2,8
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,SADDLE,EXACT,CRISP, OPPOSITE, CARE,29,,0,Omm,3,1.379,11.11111111,1.991,29,0,Alt1Recog,4.081,14.22222222,2.061,26,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,2,9
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,OUTSIDE,POST,SWEEP, BUSINESS, ACHE,30,,0,Omm,3,1.291,2.666666667,1.6,30,1,CorrectRecog,3.08,13.66666667,2.34,4,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,3,0
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,CURIOUS,LOST,DENT, COUNSELOR, SLOW,31,,0,Omm,3,0.962,8.222222222,1.798,31,1,CorrectRecog,2.931,16.88888889,2.179,12,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,3,1
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,INSIDE,MINUS,LOSER, ARMY, WEAR,32,,0,Omm,3,1.446,11.11111111,1.212,32,0,Alt3Recog,2.881,10,2.292,6,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,3,2
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,ANNOY,SCRATCH,HEALTHY, ARMY, HAPPY,33,,0,Omm,3,1.341,9.666666667,1.975,33,1,CorrectRecog,2.027,14,1.81,13,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,3,3
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,SQUARE,TAKE,MINIMUM, NEXT, THRILL,34,,0,Omm,3,1.516,4.444444444,1.268,34,0,Alt3Recog,2.813,8.111111111,2.025,28,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,3,4
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,WORRY,UNDERGROUND,ABOVE, PROPERTY, BASIC,35,,0,Omm,3,1.297,8.777777778,1.326,35,0,Alt3Recog,4.145,5.666666667,2.16,1,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,3,5
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,UNDERSTAND,ITCH,FROWN, DEPENDENT, RESPONSE,36,,0,Omm,3,1.708,4,1.341,36,0,Alt3Recog,2.046,24.77777778,2.196,10,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,3,6
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,LEAST,SWEEP,NEAR, COURAGEOUS, ADDITION,37,,0,Omm,3,1.397,6.777777778,1.363,37,0,,,0.444444444,3.363,17,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,3,7
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,PRECISE,PUSH,NOISE, RECEIVE, LECTURE,38,,0,Omm,3,1.222,15.77777778,1.263,38,0,Alt1Recog,2.062,28.11111111,1.706,39,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,3,8
oi_fok,21554824,female,1,YA,27,Unrelated,YA - Unrelated,MacIntel,UNRELATED,FREEDOM,POSITIVE,MINIMUM, TALK, HAPPY,39,,0,Omm,,,,,39,1,CorrectRecog,2.331,14.77777778,1.825,29,PARTICIPANT_oi_fok_2020-10-05_12h58.44.254.csv,0,3,9
oi_fok,56538710,Male,0,YA,19,Unrelated,YA - Unrelated,MacIntel,UNRELATED,QUESTION,RAIN,GAVEL, TEENAGERS, GIVE,0,Socie,0,Comm,3,3.27524,0.1796875,2.29413,0,1,CorrectRecog,4.19515,99.67795139,3.960215,33,PARTICIPANT_oi_fok_2020-08-28_19h48.20.209.csv,0,0,0
